t,angle
36.25,-15.2230508004969
36.3,-31.6062267238752
36.35,-45.0923608615523
36.4,-54.7674127199278
36.45,-59.3293324927007
36.5,-58.6525440774468
36.55,-53.7436406387987
36.6,-44.3566433405909
36.65,-31.2943447132566
36.7,-16.0264461863766
36.75,1.70555207711457
36.8,18.7799448235905
36.85,35.6332927787858
36.9,46.6879622194352
36.95,55.7698824973172
37,59.7792161844443
37.05,57.6162306704924
37.1,51.952519974876
37.15,41.0049162666534
37.2,28.0367433029687
37.25,10.5486646296826
37.3,-7.30597000895986
37.35,-24.3104819119071
37.4,-39.2188821179849
37.45,-50.5314170734623
37.5,-56.8650830775211
37.55,-59.6602593545664
37.6,-57.4824709641159
37.65,-49.0506909350785
37.7,-38.8232156229236
37.75,-22.5795681404489
37.8,-6.27921363014005
37.85,11.3589559381218
37.9,28.4347315439363
37.95,42.7425434767505
38,52.8967527726735
38.05,57.9756346677773
38.1,58.8824707415135
38.15,54.4606988593535
38.2,46.172872966951
38.25,33.6377497800821
38.3,17.4352148581077
38.35,0.237607005442716
38.4,-16.95162199304
38.45,-32.7690046495285
38.5,-45.6657180437197
38.55,-53.8150572992161
38.6,-59.3687527918384
38.65,-57.7554806221806
38.7,-53.7050578279918
38.75,-43.9698334485472
38.8,-29.357433240814
38.85,-12.531789343782
38.9,5.0773425939852
38.95,21.7599215803569
39,36.2694542846279
39.05,49.0937091337815
39.1,55.6492680874835
39.15,59.8177360777193
39.2,57.4658340001852
39.25,49.4938668998701
39.3,39.0318390872771
39.35,24.1928131147147
39.4,7.40681780440887
39.45,-9.09429760249062
39.5,-26.9776228440768
39.55,-40.1241683012847
39.6,-51.7649288439246
39.65,-57.2006720366618
39.7,-59.4681440815888
39.75,-54.7448916629222
39.8,-47.785379446153
39.85,-35.0119839642972
39.9,-20.5279952828119
39.95,-2.22587934226103
40,15.9962299861052
40.05,30.1943452050739
40.1,45.1417796474066
40.15,53.9917042221185
40.2,57.2746157482105
40.25,58.1015238377559
40.3,53.4031587179358
40.35,43.3435642991138
40.4,31.309737583391
40.45,14.3611828714792
40.5,-3.81762627022652
40.55,-20.0528568596193
40.6,-35.3257438168263
40.65,-46.6541682390164
40.7,-55.5987863703814
40.75,-57.650497998934
40.8,-57.1699548631525
40.85,-49.607565186646
40.9,-40.1451420211344
40.95,-25.2397020260547
41,-9.51673252280735
41.05,9.09883120503469
41.1,25.7462221580231
41.15,38.5777113647395
41.2,49.1938980417707
41.25,56.044101376533
41.3,57.3347694930056
41.35,55.6956224637024
41.4,46.8336466877889
41.45,35.2065141843513
41.5,19.9557867683743
41.55,4.06018360219284
41.6,-14.7721274089343
41.65,-29.7190956553267
41.7,-43.2558897590921
41.75,-52.0912466612951
41.8,-57.7184929594711
41.85,-57.594955074899
41.9,-53.4130180617459
41.95,-43.7272843198014
42,-30.6866554526055
42.05,-15.581819273422
42.1,2.61233571482777
42.15,18.4875882602388
42.2,34.9585703473996
42.25,46.6887037262908
42.3,54.8647544952982
42.35,57.5993092418155
42.4,56.2064471148434
42.45,50.2010670403678
42.5,39.6300686804974
42.55,26.8988147672946
42.6,9.22693730355607
42.65,-7.24747608252322
42.7,-24.5835689516889
42.75,-37.7042904552311
42.8,-50.0476349341296
42.85,-55.3528887889283
42.9,-57.623785582794
42.95,-55.8187736128667
43,-48.1993093058258
43.05,-36.255268278102
43.1,-21.3859331150254
43.15,-4.1704681457977
43.2,12.6914600455901
43.25,28.1193945308111
43.3,41.8851198333129
43.35,51.5409709432656
43.4,57.8289740759546
43.45,57.841394025248
43.5,53.5959368386164
43.55,43.8501037355622
43.6,30.3870024370611
43.65,15.0583472289102
43.7,-1.66723050722214
43.75,-17.7565376848092
43.8,-32.9709425682081
43.85,-46.5143544959537
43.9,-53.717607834417
43.95,-57.1784651480049
44,-55.5448246006312
44.05,-51.2195340681087
44.1,-40.730745915007
44.15,-25.3353077703008
44.2,-9.76704576831523
44.25,8.2708622502544
44.3,23.8462231668347
44.35,38.8908056284093
44.4,48.5855794739218
44.45,56.1120329266993
44.5,58.0805793695894
44.55,55.4003713728746
44.6,47.5652246541356
44.65,35.3844860478922
44.7,20.6401130367112
44.75,5.14957427931245
44.8,-13.0460999286863
44.85,-29.3664605514521
44.9,-42.2761965011921
44.95,-51.3029513291935
45,-55.75925885628
45.05,-57.422456762667
45.1,-52.656265503656
45.15,-43.5787971956089
45.2,-30.8380513654558
45.25,-15.016776405653
45.3,1.70870756502844
45.35,19.3475520204863
45.4,33.9238660047509
45.45,45.6102479424186
45.5,53.842638892291
45.55,56.4320699378499
45.6,55.1238099489709
45.65,49.0253920773711
45.7,39.19798134274
45.75,24.9558274998661
45.8,10.3780280103633
45.85,-6.89773019097762
45.9,-24.2316235114816
45.95,-38.3762346215631
46,-49.2300148469388
46.05,-54.2054915981407
46.1,-56.8351042946951
46.15,-53.1714895725861
46.2,-46.6829891172178
46.25,-34.7488042033832
46.3,-20.9305745177798
46.35,-4.60799527116987
46.4,14.2277960871531
46.45,28.3042424289871
46.5,42.7575320946602
46.55,51.5523033980702
46.6,56.0967196871959
46.65,56.582330960433
46.7,51.4449471751349
46.75,41.8773399537498
46.8,30.6723455566072
46.85,14.8113267480029
46.9,-2.1974483523887
46.95,-19.5666426530763
47,-34.3240704522045
47.05,-46.2484841108343
47.1,-54.1956633784441
47.15,-56.7278717048792
47.2,-55.4894081144681
47.25,-49.7604941556609
47.3,-38.409883391634
47.35,-24.3134701251133
47.4,-9.07504519594434
47.45,8.50662961418847
47.5,24.021237875477
47.55,38.2303385566243
47.6,48.6685245852188
47.65,54.2497241659482
47.7,57.3708174037748
47.75,53.1066693698025
47.8,44.965180243744
47.85,33.5231670531117
47.9,19.3063243963364
47.95,3.23872914623762
48,-14.218697092278
48.05,-29.9528872771761
48.1,-43.5103412780555
48.15,-51.6931954988986
48.2,-55.6436543615294
48.25,-55.3021095075958
48.3,-50.0068798701385
48.35,-41.7562282383752
48.4,-29.3137041898235
48.45,-14.1310016473301
48.5,3.18851257253924
48.55,20.2347910319671
48.6,34.6656730551613
48.65,46.8483214844839
48.7,52.9127249103381
48.75,55.7875405805741
48.8,54.5862304727705
48.85,47.2612100815762
48.9,37.9360077191818
48.95,23.7703953854278
49,7.29705651770968
49.05,-9.66394546304974
49.1,-24.7964030592956
49.15,-40.0619976883468
49.2,-49.4699536448092
49.25,-55.0425028112576
49.3,-56.7017728004915
49.35,-53.2532608362876
49.4,-43.6475253043703
49.45,-32.0932475498145
49.5,-17.9689464984833
49.55,-1.53180823131627
49.6,16.0311521943919
49.65,31.408609600909
49.7,43.6459713836442
49.75,52.5945953140741
49.8,55.8786113775311
49.85,55.7932641041899
49.9,50.167128658159
49.95,40.8659043351699
50,27.127233515138
50.05,10.8397781376432
50.1,-5.38991357125717
50.15,-22.2010410606038
50.2,-36.7947380438669
50.25,-46.4315820374517
50.3,-53.5556865972645
50.35,-55.988273334247
50.4,-52.5185649098574
50.45,-46.8926328017892
50.5,-36.3923605449538
50.55,-21.7902187011066
50.6,-5.2789942211765
50.65,10.8089552249719
50.7,27.7759760658035
50.75,40.7777324527739
50.8,49.8320345999876
50.85,54.7327836747127
50.9,55.6716625080426
50.95,51.3946672171166
51,41.9228454786489
51.05,31.3531062808227
51.1,15.6837825103294
51.15,-1.8706732128839
51.2,-17.0831298175387
51.25,-32.1823082559517
51.3,-44.485236069825
51.35,-52.2980060330995
51.4,-56.237135334532
51.45,-55.0926147596504
51.5,-47.5395201444526
51.55,-38.5415298903444
51.6,-24.7545117642808
51.65,-9.16197713700123
51.7,7.26499749574335
51.75,22.7170312359943
51.8,37.6087208568006
51.85,48.1105126684036
51.9,54.7031319252905
51.95,54.5835575389009
52,52.6900662349229
52.05,45.3527683438086
52.1,33.6769991416568
52.15,18.8537411904104
52.2,2.7920018938694
52.25,-14.2218043892324
52.3,-29.1915926956294
52.35,-41.6019874167544
52.4,-51.2127899130396
52.45,-55.3480924135025
52.5,-54.5613999670279
52.55,-50.0066801145139
52.6,-41.178241646533
52.65,-28.7551136240726
52.7,-13.3663723801827
52.75,4.26443807907271
52.8,20.4828750280564
52.85,35.2439666577559
52.9,46.0355409612172
52.95,52.1526969841193
53,55.4749897171764
53.05,53.6294057013706
53.1,47.2910571349138
53.15,35.1144885898733
53.2,22.2609565296705
53.25,5.47646468110008
53.3,-10.3270828531817
53.35,-25.3449024484246
53.4,-39.9226265805976
53.45,-49.19532110877
53.5,-54.1567410603645
53.55,-54.9299830896772
53.6,-50.6519462359017
53.65,-43.6865364252441
53.7,-30.7878451615815
53.75,-15.6969803065781
53.8,-0.149873724483215
53.85,17.2209152141211
53.9,31.525267813315
53.95,42.6145788124642
54,51.2513062830199
54.05,54.2958246392254
54.1,54.501378603315
54.15,47.2939576113097
54.2,38.8088420986884
54.25,25.691384724661
54.3,10.5813020169839
54.35,-7.69445433807997
54.4,-22.7393655220669
54.45,-35.7986348215919
54.5,-46.6433181308787
54.55,-52.3219544492423
54.6,-54.7651028753607
54.65,-51.2005119478261
54.7,-44.6450632997295
54.75,-34.3831874977761
54.8,-19.3508011526733
54.85,-3.53584941366869
54.9,14.1128657915613
54.95,28.7591489232118
55,40.1727303339328
55.05,49.0997715463854
55.1,53.7577781501218
55.15,53.1781053682655
55.2,48.5121291705829
55.25,40.401185145745
55.3,28.7173782718434
55.35,13.1722038130821
55.4,-3.01953221774099
55.45,-20.4805077746693
55.5,-33.9520299332666
55.55,-44.00324563025
55.6,-52.7409822052623
55.65,-53.8486643668437
55.7,-51.5858538510816
55.75,-46.6413839176517
55.8,-36.3990305491036
55.85,-21.3957090385836
55.9,-6.19938059887753
55.95,10.3334075605616
56,25.3938532055361
56.05,39.5732348073393
56.1,48.2010796425752
56.15,53.2322675990026
56.2,53.2144437418963
56.25,49.3270511536304
56.3,41.9605739344914
56.35,30.628068423327
56.4,16.2898224048551
56.45,-0.560519264966535
56.5,-17.0413073431423
56.55,-30.7392914516421
56.6,-42.9694617638812
56.65,-50.4923146549056
56.7,-53.0674527764881
